Date ,Team,OPP,AB,R,H,TB,2B,3B,HR,RBI,BB,IBB,SO,SB,CS,AVG,OBP,SLG,HBP,SAC,SF
6-Apr,COL,@MIL,5,0,1,1,0,0,0,0,0,0,2,0,0,0.2,0.2,0.2,0,0,0
7-Apr,COL,@MIL,4,0,0,0,0,0,0,0,1,0,2,0,0,0.111,0.2,0.111,0,0,0
8-Apr,COL,@MIL,5,1,1,2,1,0,0,0,0,0,2,0,0,0.143,0.2,0.214,0,0,0
10-Apr,COL,CHC,2,1,0,0,0,0,0,0,1,0,1,0,0,0.125,0.222,0.188,0,0,0
11-Apr,COL,CHC,4,0,1,2,1,0,0,0,1,0,1,0,0,0.15,0.261,0.25,0,0,0
12-Apr,COL,CHC,4,1,3,4,1,0,0,1,1,0,1,1,0,0.25,0.357,0.375,0,0,0
13-Apr,COL,@SF,4,1,2,2,0,0,0,0,0,0,0,0,0,0.286,0.375,0.393,0,0,0
14-Apr,COL,@SF,4,0,1,1,0,0,0,0,0,0,1,0,0,0.281,0.378,0.375,1,0,0
15-Apr,COL,@SF,2,1,0,0,0,0,0,1,1,0,1,0,0,0.265,0.366,0.353,0,0,1
17-Apr,COL,@LAD,4,1,1,4,0,0,1,2,0,0,1,0,0,0.263,0.356,0.421,0,0,0
18-Apr,COL,@LAD,4,1,1,2,1,0,0,0,0,0,0,0,0,0.262,0.347,0.429,0,0,0
19-Apr,COL,@LAD,3,0,2,2,0,0,0,0,1,0,1,0,1,0.289,0.377,0.444,0,0,0
20-Apr,COL,SD,4,0,1,3,0,1,0,1,1,0,1,0,0,0.286,0.379,0.469,0,0,0
21-Apr,COL,SD,4,1,1,3,0,1,0,2,0,0,0,0,0,0.283,0.371,0.491,0,0,0
22-Apr,COL,SD,4,0,0,0,0,0,0,0,0,0,2,0,0,0.263,0.348,0.456,0,0,0
23-Apr,COL,SD,5,0,1,1,0,0,0,0,0,0,1,1,0,0.258,0.338,0.435,0,0,0
24-Apr,COL,SF,5,1,2,5,0,0,1,1,0,0,0,0,1,0.269,0.342,0.478,0,0,0
25-Apr,COL,SF,5,0,2,2,0,0,0,1,0,0,0,0,0,0.278,0.346,0.472,0,0,0
27-Apr,COL,@ARI,5,0,2,2,0,0,0,0,0,0,2,0,0,0.286,0.349,0.468,0,0,0
28-Apr,COL,@ARI,5,2,3,4,1,0,0,2,0,0,0,0,0,0.305,0.363,0.488,0,0,0
29-Apr,COL,@ARI,4,0,0,0,0,0,0,0,0,0,1,0,0,0.291,0.347,0.465,0,0,0
